epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,0.8436,0.8608,0.7186,0.5568,0.5642,0.5746,0.000999,40.2
2,0.2772,0.6892,0.8632,0.8629,0.7985,0.7985,0.000996,14.1
3,0.046,0.631,0.8983,0.8966,0.8505,0.8518,0.000991,14.4
4,0.0168,0.5978,0.9031,0.9029,0.857,0.858,0.000984,14.5
5,0.0113,0.9838,0.8208,0.832,0.7391,0.741,0.000976,14.0
6,0.0091,0.7615,0.8884,0.8957,0.8374,0.8399,0.000965,14.0
7,0.0009,0.2853,0.9513,0.9368,0.9282,0.9299,0.000952,14.2
8,0.0056,1.3286,0.8155,0.8019,0.7268,0.7327,0.000938,14.0
9,0.0031,1.1825,0.8384,0.7894,0.7663,0.7807,0.000922,14.0
10,0.0096,0.2331,0.9558,0.9556,0.935,0.937,0.000905,14.3
11,0.0,0.454,0.9396,0.939,0.9111,0.9157,0.000885,14.0
12,0.0,0.4648,0.9396,0.9389,0.9111,0.9156,0.000864,14.0
13,0.0,0.4899,0.939,0.9384,0.9103,0.9149,0.000842,14.0
14,0.0,0.5126,0.939,0.9381,0.9103,0.915,0.000819,14.0
15,0.0,0.5372,0.939,0.9381,0.9103,0.915,0.000794,14.0
16,0.0,0.5682,0.9377,0.9367,0.9083,0.9133,0.000768,14.0
17,0.0,0.5972,0.9374,0.9364,0.9079,0.9129,0.000741,14.0
18,0.0,0.6239,0.9369,0.9359,0.9072,0.9122,0.000713,14.0
19,0.0,0.6479,0.9366,0.9356,0.9068,0.9119,0.000684,14.0
20,0.0,0.6732,0.9364,0.9353,0.9064,0.9115,0.000655,14.0
