epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,0.2346,0.6276,0.8554,0.7887,0.78,0.79,0.000999,85.9
2,0.0142,0.9185,0.8754,0.8469,0.8103,0.822,0.000996,64.0
3,0.0107,0.891,0.8357,0.8397,0.747,0.7801,0.000991,64.0
4,0.0118,0.7692,0.8807,0.8886,0.8196,0.8329,0.000984,63.0
5,0.0051,1.4859,0.8762,0.887,0.8121,0.8293,0.000976,64.0
6,0.0158,1.162,0.8371,0.8536,0.7495,0.7739,0.000965,63.0
7,0.0074,1.5597,0.8349,0.7226,0.7429,0.7692,0.000952,63.0
8,0.0037,1.2317,0.8509,0.8628,0.7716,0.7967,0.000938,64.0
9,0.0004,1.1342,0.8874,0.8994,0.8293,0.8444,0.000922,64.0
10,0.0097,1.5136,0.8229,0.8188,0.7364,0.7501,0.000905,63.0
11,0.0083,0.4455,0.9257,0.9318,0.8885,0.8951,0.000885,65.6
12,0.0034,0.4669,0.9228,0.9318,0.8839,0.8915,0.000864,66.0
13,0.0,0.6443,0.9081,0.9181,0.8613,0.8724,0.000842,66.0
14,0.0,0.7782,0.9034,0.9131,0.8538,0.8661,0.000819,66.0
15,0.0178,1.2333,0.8107,0.6066,0.7075,0.7212,0.000794,66.0
16,0.0114,0.4359,0.934,0.9394,0.9011,0.9061,0.000768,66.1
17,0.0,0.9758,0.9084,0.9142,0.8617,0.8721,0.000741,64.0
18,0.0,0.8176,0.9159,0.922,0.8733,0.8816,0.000713,63.0
19,0.0,0.9453,0.9063,0.9071,0.8585,0.8683,0.000684,63.0
20,0.0003,0.5359,0.9119,0.8684,0.8674,0.8734,0.000655,64.0
21,0.0,0.9418,0.8919,0.8554,0.8361,0.8464,0.000624,64.0
22,0.0,1.013,0.8908,0.862,0.8344,0.8454,0.000594,64.0
23,0.0,1.0101,0.8924,0.864,0.8369,0.8477,0.000563,64.0
24,0.0,0.9998,0.885,0.8378,0.8253,0.8365,0.000531,68.0
25,0.0,0.9143,0.8994,0.8763,0.8477,0.8574,0.0005,66.0
26,0.0,1.0524,0.8911,0.8627,0.8349,0.8459,0.000469,68.0
