epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.0816,0.0328,0.9912,0.9928,0.9871,0.9872,0.000999,23.8
2,0.1116,1.6711,0.893,0.9048,0.8377,0.8535,0.000996,12.0
3,0.0284,0.7258,0.9329,0.9428,0.8995,0.9056,0.000991,12.0
4,0.0249,0.0064,0.9973,0.9976,0.9961,0.9961,0.000984,11.8
5,0.0092,0.6137,0.9444,0.9476,0.9175,0.9207,0.000976,11.0
6,0.0366,0.4031,0.9505,0.955,0.9275,0.9296,0.000965,11.0
7,0.011,0.163,0.9726,0.9761,0.9594,0.9603,0.000952,11.0
8,0.0196,0.4055,0.9609,0.9679,0.9418,0.944,0.000938,11.0
9,0.0526,0.0929,0.9843,0.9696,0.9768,0.977,0.000922,12.0
10,0.0222,0.0218,0.9933,0.9937,0.9902,0.9902,0.000905,12.0
11,0.0037,0.4315,0.971,0.9766,0.9569,0.9582,0.000885,12.0
12,0.0075,0.0436,0.9928,0.9943,0.9894,0.9895,0.000864,12.0
13,0.0009,0.2416,0.9635,0.9657,0.9461,0.9475,0.000842,12.0
14,0.0172,0.0658,0.9803,0.9813,0.971,0.9714,0.000819,12.0
