epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.0608,1.189,0.315,0.2953,0.0873,0.1847,0.000999,53.7
2,0.8748,0.9283,0.5674,0.5001,0.2918,0.3533,0.000996,43.5
3,0.6653,0.6533,0.8027,0.7739,0.7133,0.7213,0.000991,43.5
4,0.468,0.4654,0.86,0.8396,0.7932,0.7941,0.000984,44.3
5,0.3041,0.4527,0.8829,0.8701,0.8298,0.8349,0.000976,43.6
6,0.2098,0.6138,0.8847,0.7205,0.8295,0.8361,0.000965,43.0
7,0.1573,0.2271,0.946,0.9484,0.9211,0.9226,0.000952,44.0
8,0.124,0.188,0.9502,0.9444,0.9269,0.9279,0.000938,43.7
9,0.1114,0.198,0.9369,0.9504,0.9081,0.91,0.000922,43.0
10,0.0887,0.2504,0.9278,0.9429,0.8955,0.8995,0.000905,44.0
11,0.072,0.2251,0.942,0.954,0.9157,0.9186,0.000885,44.0
12,0.0742,0.1288,0.9646,0.9676,0.9483,0.9491,0.000864,43.4
13,0.0485,0.1613,0.9598,0.9672,0.9412,0.942,0.000842,44.0
14,0.0398,0.1854,0.9577,0.9649,0.9382,0.9395,0.000819,44.0
15,0.0412,0.3589,0.9356,0.9486,0.9065,0.9103,0.000794,43.0
16,0.028,0.1734,0.9622,0.97,0.9448,0.9461,0.000768,44.0
17,0.0219,0.2333,0.9499,0.9583,0.9268,0.9284,0.000741,44.0
18,0.0366,0.1133,0.9681,0.9725,0.9532,0.9539,0.000713,43.8
19,0.0247,0.446,0.9321,0.9477,0.9018,0.9068,0.000684,44.0
20,0.0282,0.1112,0.9715,0.9766,0.9583,0.9592,0.000655,43.7
21,0.0178,0.3043,0.9401,0.9515,0.9129,0.9162,0.000624,44.0
22,0.0191,0.0631,0.9854,0.9874,0.9785,0.9786,0.000594,43.8
23,0.0171,0.5401,0.9217,0.9396,0.8871,0.8933,0.000563,43.0
24,0.0116,0.2635,0.959,0.9667,0.9402,0.9416,0.000531,43.0
25,0.0152,0.4269,0.9406,0.9534,0.9138,0.9172,0.0005,44.0
26,0.0104,0.1669,0.9643,0.9712,0.9479,0.9489,0.000469,44.0
27,0.0076,0.0722,0.9846,0.9866,0.9773,0.9774,0.000437,44.0
28,0.023,0.1169,0.976,0.9805,0.9649,0.9654,0.000406,44.0
29,0.0084,0.0845,0.9766,0.9775,0.9655,0.9659,0.000376,44.0
30,0.0094,0.1983,0.9627,0.9695,0.9455,0.9467,0.000345,43.0
31,0.0118,0.1183,0.9688,0.9738,0.9543,0.9549,0.000316,43.0
32,0.0059,0.1581,0.9635,0.9662,0.9464,0.9475,0.000287,43.0
