epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.6307,1.3334,0.438,0.1523,0.0,0.0,3e-05,19.8
2,1.0545,1.5023,0.438,0.1523,0.0,0.0,3e-05,5.0
3,0.8974,0.9171,0.685,0.6772,0.5103,0.5344,3e-05,5.9
4,0.8045,0.8312,0.7511,0.7512,0.6206,0.6322,2.99e-05,6.0
5,0.7251,0.7523,0.8301,0.8245,0.7475,0.7482,2.99e-05,6.0
6,0.6457,0.6782,0.8669,0.8616,0.8026,0.8033,2.99e-05,6.2
7,0.5986,0.6395,0.8847,0.8724,0.8286,0.8302,2.98e-05,6.0
8,0.5689,0.5913,0.9129,0.9013,0.8714,0.8715,2.98e-05,6.1
9,0.5332,0.5743,0.9164,0.9033,0.8763,0.8768,2.97e-05,6.1
10,0.5125,0.56,0.9263,0.9146,0.8907,0.8916,2.97e-05,6.1
11,0.4963,0.5583,0.9308,0.9199,0.898,0.8985,2.96e-05,6.1
12,0.4826,0.5275,0.9433,0.933,0.9164,0.9166,2.95e-05,6.2
13,0.4688,0.5169,0.9441,0.9354,0.9174,0.9178,2.94e-05,6.3
14,0.4596,0.5177,0.9377,0.9295,0.9078,0.9087,2.94e-05,6.0
15,0.4494,0.5094,0.9452,0.9357,0.9192,0.9196,2.93e-05,6.3
16,0.443,0.5105,0.9385,0.9291,0.909,0.9098,2.92e-05,6.0
17,0.438,0.5078,0.9382,0.932,0.9085,0.9096,2.91e-05,6.4
18,0.4333,0.5026,0.9444,0.9338,0.9177,0.9182,2.89e-05,6.5
19,0.426,0.4989,0.9454,0.9379,0.9193,0.92,2.88e-05,6.5
20,0.4191,0.5011,0.943,0.9364,0.9159,0.9166,2.87e-05,6.0
21,0.417,0.507,0.9409,0.9352,0.9126,0.9136,2.86e-05,6.0
22,0.4145,0.497,0.9425,0.9347,0.915,0.9159,2.84e-05,6.3
23,0.4109,0.4883,0.9489,0.9465,0.9244,0.9252,2.83e-05,6.4
24,0.4038,0.4763,0.9529,0.946,0.9303,0.9309,2.81e-05,6.3
25,0.4034,0.4919,0.9478,0.946,0.9228,0.9238,2.8e-05,6.0
26,0.4025,0.4735,0.9593,0.9546,0.9399,0.9402,2.78e-05,6.6
27,0.3984,0.4894,0.9454,0.9441,0.9193,0.9203,2.77e-05,6.0
28,0.4001,0.4909,0.9446,0.9393,0.9182,0.9192,2.75e-05,6.0
29,0.3944,0.4725,0.9561,0.9527,0.9352,0.9358,2.73e-05,6.4
30,0.3929,0.4747,0.9579,0.9509,0.9379,0.9384,2.71e-05,6.0
31,0.3961,0.4906,0.9417,0.9405,0.9136,0.915,2.69e-05,6.0
32,0.3931,0.4624,0.9609,0.9559,0.9422,0.9426,2.68e-05,6.4
33,0.3878,0.4674,0.9595,0.9582,0.9403,0.9407,2.66e-05,6.0
34,0.3864,0.4709,0.9571,0.9551,0.9368,0.9374,2.64e-05,6.0
35,0.3868,0.4614,0.9614,0.9608,0.9431,0.9436,2.61e-05,6.4
36,0.3853,0.4637,0.9609,0.9596,0.9423,0.9427,2.59e-05,6.0
37,0.3836,0.4698,0.9553,0.9545,0.9339,0.9347,2.57e-05,6.0
38,0.382,0.4707,0.9547,0.9542,0.9331,0.934,2.55e-05,6.0
39,0.3823,0.4648,0.9593,0.9566,0.9398,0.9404,2.53e-05,6.0
40,0.3818,0.4664,0.9561,0.9522,0.9351,0.9357,2.5e-05,6.0
41,0.3812,0.4675,0.9561,0.9561,0.9352,0.936,2.48e-05,6.0
42,0.378,0.4579,0.9609,0.9601,0.9423,0.9429,2.46e-05,6.4
43,0.379,0.4677,0.9539,0.9551,0.9319,0.9329,2.43e-05,6.0
44,0.3778,0.4577,0.9619,0.9612,0.9438,0.9443,2.41e-05,6.4
45,0.3768,0.4473,0.9649,0.9644,0.9481,0.9486,2.38e-05,6.4
46,0.3772,0.4637,0.9582,0.9559,0.9383,0.9389,2.36e-05,6.0
47,0.3757,0.4493,0.9659,0.9641,0.9497,0.9501,2.33e-05,6.0
48,0.3752,0.4478,0.9657,0.9645,0.9493,0.9497,2.3e-05,6.0
49,0.3747,0.4501,0.9681,0.9654,0.9529,0.9532,2.28e-05,6.0
50,0.3751,0.4494,0.9681,0.9671,0.9529,0.9532,2.25e-05,6.0
51,0.3723,0.4491,0.9625,0.9631,0.9446,0.9452,2.22e-05,6.0
52,0.3723,0.4496,0.9635,0.9652,0.9462,0.9467,2.19e-05,6.0
53,0.371,0.4509,0.9643,0.9654,0.9473,0.9479,2.17e-05,6.0
54,0.3722,0.4485,0.9665,0.9666,0.9506,0.951,2.14e-05,6.0
55,0.3708,0.4508,0.9643,0.9644,0.9474,0.9478,2.11e-05,6.0
