epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.0182,1.2459,0.438,0.1523,0.0,0.0,0.000999,44.6
2,0.2356,1.0609,0.8687,0.8658,0.8028,0.8195,0.000996,16.5
3,0.019,0.7244,0.9191,0.9202,0.8804,0.8871,0.000991,16.4
4,0.0083,1.121,0.9103,0.9169,0.8657,0.8738,0.000984,16.0
5,0.0018,1.1336,0.9361,0.9464,0.9043,0.9101,0.000976,16.0
6,0.0141,1.1475,0.9377,0.9479,0.9067,0.9123,0.000965,16.0
7,0.0022,1.0939,0.9374,0.9477,0.9063,0.9118,0.000952,16.0
8,0.0045,1.2125,0.9223,0.9299,0.8836,0.8906,0.000938,16.0
9,0.0013,1.7345,0.8823,0.8817,0.8238,0.8372,0.000922,16.0
10,0.0126,1.2314,0.9316,0.9419,0.8974,0.9039,0.000905,16.0
11,0.0021,1.3634,0.9289,0.9378,0.8935,0.8999,0.000885,16.0
12,0.0063,1.0587,0.9239,0.9303,0.8859,0.8927,0.000864,16.0
13,0.0038,1.2816,0.9377,0.9479,0.9067,0.9123,0.000842,16.0
