epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.2458,0.7561,0.9358,0.9465,0.9039,0.9095,0.000999,19.9
2,0.0595,0.0535,0.9854,0.9884,0.9784,0.9787,0.000996,10.5
3,0.0314,0.0058,0.9987,0.999,0.998,0.998,0.000991,10.5
4,0.0118,0.8784,0.9449,0.9543,0.9176,0.922,0.000984,10.0
5,0.0185,0.1699,0.9771,0.9817,0.9661,0.9669,0.000976,10.0
6,0.0285,0.0,1.0,1.0,1.0,1.0,0.000965,10.5
7,0.0413,0.0013,0.9989,0.9992,0.9984,0.9984,0.000952,10.0
8,0.0099,1.8815,0.8991,0.9111,0.8472,0.8614,0.000938,10.0
9,0.0036,0.012,0.9979,0.9983,0.9969,0.9969,0.000922,10.0
10,0.0087,0.002,0.9992,0.9989,0.9988,0.9988,0.000905,10.0
11,0.0079,0.0545,0.9891,0.9913,0.9839,0.9841,0.000885,10.0
12,0.0062,0.0198,0.9968,0.9974,0.9953,0.9953,0.000864,10.0
13,0.0047,0.6445,0.9507,0.9594,0.9265,0.93,0.000842,10.0
14,0.0104,0.0245,0.9928,0.9943,0.9894,0.9895,0.000819,10.0
15,0.0067,1.5224,0.9396,0.9495,0.9095,0.9148,0.000794,10.0
16,0.0043,0.0564,0.9939,0.9952,0.991,0.991,0.000768,10.0
