epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.0952,1.098,0.4704,0.327,0.0782,0.2106,0.000999,50.3
2,0.8107,0.9597,0.5189,0.4573,0.1929,0.2988,0.000996,40.7
3,0.5739,0.5669,0.7796,0.8106,0.6661,0.6749,0.000991,40.0
4,0.3103,0.5592,0.8512,0.8577,0.7794,0.7871,0.000984,40.9
5,0.1763,0.7198,0.8693,0.8764,0.8056,0.8124,0.000976,40.0
6,0.1253,0.6172,0.8954,0.9157,0.8457,0.8459,0.000965,39.0
7,0.0938,0.7598,0.8632,0.8706,0.7986,0.8043,0.000952,40.0
8,0.0522,0.8656,0.931,0.9402,0.8968,0.9027,0.000938,39.0
9,0.0572,1.1713,0.8727,0.8702,0.8097,0.8241,0.000922,40.0
10,0.0418,1.23,0.8647,0.8693,0.7991,0.8078,0.000905,40.0
11,0.0451,1.287,0.8895,0.8946,0.8353,0.8442,0.000885,40.0
12,0.0321,1.5022,0.8797,0.8833,0.8203,0.83,0.000864,40.0
13,0.0353,0.8418,0.9247,0.9345,0.8874,0.8919,0.000842,40.0
14,0.03,0.971,0.905,0.9134,0.8585,0.8618,0.000819,40.0
