epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.788,1.3008,0.438,0.1523,0.0,0.0,3e-05,21.9
2,0.9709,1.4355,0.438,0.1523,0.0,0.0,3e-05,6.0
3,0.7954,0.9773,0.6837,0.6551,0.5183,0.5269,3e-05,6.1
4,0.7008,0.9309,0.7173,0.6875,0.5713,0.5795,2.99e-05,6.2
5,0.6392,0.8757,0.7391,0.7116,0.6069,0.6135,2.99e-05,6.2
6,0.59,0.8563,0.7489,0.7182,0.6213,0.6291,2.99e-05,6.4
7,0.5641,0.8492,0.7599,0.7365,0.6369,0.6438,2.98e-05,6.2
8,0.5285,0.8061,0.7772,0.7548,0.6658,0.6714,2.98e-05,6.3
9,0.5106,0.7989,0.7753,0.7483,0.6621,0.6702,2.97e-05,6.3
10,0.4947,0.7882,0.7849,0.7611,0.6766,0.6844,2.97e-05,6.3
11,0.4775,0.7779,0.7955,0.7747,0.6933,0.6994,2.96e-05,6.3
12,0.4665,0.7726,0.7993,0.7808,0.6986,0.7065,2.95e-05,6.3
13,0.4558,0.7675,0.8003,0.7775,0.7004,0.7083,2.94e-05,6.3
14,0.4471,0.7629,0.8067,0.7893,0.7101,0.719,2.94e-05,6.4
15,0.4445,0.7437,0.8094,0.7924,0.7147,0.723,2.93e-05,6.4
16,0.4351,0.7346,0.8144,0.8005,0.7223,0.7292,2.92e-05,6.4
17,0.4308,0.7414,0.8147,0.798,0.7226,0.7301,2.91e-05,6.0
18,0.428,0.7443,0.8198,0.8065,0.7296,0.7396,2.89e-05,6.0
19,0.4198,0.7225,0.8155,0.8006,0.7234,0.7321,2.88e-05,6.5
20,0.4156,0.7294,0.8211,0.8088,0.7317,0.7414,2.87e-05,6.0
21,0.4154,0.7418,0.8187,0.8052,0.7282,0.7371,2.86e-05,6.0
22,0.4091,0.7362,0.8235,0.8124,0.7357,0.744,2.84e-05,6.0
23,0.4084,0.7335,0.8171,0.7975,0.7259,0.7369,2.83e-05,6.0
24,0.4061,0.7349,0.8301,0.8229,0.7454,0.7544,2.81e-05,6.0
25,0.4027,0.7239,0.8336,0.8243,0.751,0.7602,2.8e-05,6.0
26,0.3981,0.7284,0.8336,0.8241,0.7509,0.7602,2.78e-05,6.0
27,0.3984,0.7235,0.8341,0.826,0.7516,0.761,2.77e-05,6.0
28,0.3956,0.717,0.8344,0.8249,0.7521,0.7612,2.75e-05,6.5
29,0.3947,0.7098,0.836,0.8253,0.755,0.7639,2.73e-05,6.5
30,0.391,0.7117,0.8384,0.8308,0.7582,0.7672,2.71e-05,6.0
31,0.3896,0.731,0.8419,0.8336,0.7632,0.7734,2.69e-05,6.0
32,0.3894,0.7171,0.8408,0.8303,0.7619,0.7715,2.68e-05,6.0
33,0.387,0.703,0.8421,0.8358,0.7636,0.7732,2.66e-05,6.5
34,0.3858,0.7112,0.8458,0.8395,0.7693,0.7795,2.64e-05,6.0
35,0.3832,0.708,0.8464,0.8403,0.7703,0.7792,2.61e-05,6.0
36,0.3833,0.7021,0.8488,0.8442,0.7739,0.7832,2.59e-05,6.5
37,0.3825,0.7044,0.845,0.8376,0.7682,0.7781,2.57e-05,6.0
38,0.3831,0.7128,0.8453,0.8378,0.7683,0.7795,2.55e-05,6.0
39,0.3807,0.6991,0.849,0.8436,0.7743,0.7836,2.53e-05,6.4
40,0.3796,0.6969,0.8488,0.8431,0.7739,0.7832,2.5e-05,6.5
41,0.3786,0.6987,0.848,0.8435,0.7725,0.7821,2.48e-05,6.0
42,0.3771,0.7066,0.8498,0.8437,0.7755,0.7852,2.46e-05,6.0
43,0.3764,0.6927,0.852,0.8461,0.7787,0.7883,2.43e-05,6.5
44,0.3768,0.6941,0.8544,0.8508,0.7823,0.7917,2.41e-05,6.0
45,0.3762,0.7001,0.8512,0.8462,0.7773,0.7872,2.38e-05,6.0
46,0.3756,0.7006,0.8581,0.8549,0.7878,0.7984,2.36e-05,6.0
47,0.3737,0.6944,0.853,0.8469,0.7803,0.7901,2.33e-05,6.0
48,0.3739,0.6945,0.8512,0.8452,0.7773,0.7878,2.3e-05,6.0
49,0.3732,0.6915,0.8562,0.8528,0.7851,0.795,2.28e-05,6.5
50,0.3716,0.6997,0.8517,0.8465,0.7782,0.7881,2.25e-05,6.0
51,0.3722,0.7025,0.853,0.8488,0.7802,0.7905,2.22e-05,6.0
52,0.3706,0.6878,0.8533,0.8503,0.7806,0.7905,2.19e-05,6.4
53,0.37,0.6899,0.8552,0.8508,0.7833,0.794,2.17e-05,6.0
54,0.3694,0.6923,0.8552,0.8522,0.7833,0.7937,2.14e-05,6.0
55,0.37,0.7065,0.8568,0.8512,0.7857,0.797,2.11e-05,6.0
56,0.3695,0.6887,0.8549,0.8501,0.783,0.7933,2.08e-05,6.0
57,0.3694,0.7012,0.8597,0.8547,0.79,0.8014,2.05e-05,6.0
58,0.3681,0.6954,0.8592,0.8545,0.7893,0.8007,2.02e-05,6.0
59,0.3693,0.6967,0.8592,0.8551,0.7892,0.8004,1.99e-05,6.0
60,0.3695,0.68,0.8589,0.855,0.789,0.7996,1.96e-05,6.4
61,0.3676,0.7017,0.8576,0.8532,0.7867,0.798,1.93e-05,6.0
62,0.3665,0.6923,0.8597,0.8564,0.79,0.8012,1.9e-05,6.0
63,0.3672,0.6982,0.8578,0.8533,0.7871,0.7985,1.87e-05,6.0
64,0.3667,0.6805,0.8613,0.8586,0.7925,0.8037,1.84e-05,6.0
65,0.3665,0.6934,0.8589,0.8543,0.7888,0.8,1.81e-05,6.0
66,0.3665,0.6882,0.8594,0.8545,0.7896,0.8009,1.78e-05,6.0
67,0.3669,0.6878,0.8616,0.8582,0.7929,0.8043,1.75e-05,6.0
68,0.3659,0.6926,0.8621,0.8591,0.7936,0.8051,1.72e-05,6.0
69,0.3652,0.6791,0.8602,0.8562,0.7908,0.8019,1.69e-05,6.5
70,0.3647,0.6901,0.8613,0.8571,0.7924,0.8039,1.66e-05,6.0
71,0.365,0.6811,0.8584,0.8544,0.788,0.799,1.63e-05,6.0
72,0.3647,0.6866,0.861,0.857,0.7921,0.8029,1.59e-05,6.0
73,0.3638,0.6826,0.8616,0.8579,0.7929,0.804,1.56e-05,6.0
74,0.3638,0.6925,0.8618,0.8585,0.7932,0.8047,1.53e-05,6.0
75,0.3637,0.6849,0.8602,0.856,0.7909,0.8018,1.5e-05,6.0
76,0.3635,0.6886,0.8608,0.8573,0.7915,0.803,1.47e-05,6.0
77,0.3632,0.6869,0.8613,0.8584,0.7924,0.8035,1.44e-05,6.0
78,0.3627,0.6815,0.8624,0.8599,0.794,0.8055,1.41e-05,6.0
79,0.363,0.6812,0.8632,0.8605,0.7953,0.8066,1.37e-05,6.0
