epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,0.9874,1.0958,0.5495,0.3901,0.2588,0.3044,3e-05,42.6
2,0.5755,0.7641,0.758,0.796,0.6257,0.6517,3e-05,15.4
3,0.3549,0.5409,0.8309,0.8028,0.7402,0.7547,3e-05,15.3
4,0.1395,0.4891,0.8411,0.7426,0.7568,0.7646,2.99e-05,15.2
5,0.0486,0.3297,0.9185,0.9288,0.878,0.8822,2.99e-05,15.3
6,0.0155,0.4145,0.9332,0.9434,0.9,0.9047,2.99e-05,15.0
7,0.0099,0.7884,0.8647,0.868,0.7946,0.8153,2.98e-05,15.0
8,0.006,1.1725,0.8336,0.8387,0.7439,0.7751,2.98e-05,15.0
9,0.0057,0.5775,0.9233,0.9297,0.8856,0.89,2.97e-05,15.0
10,0.0074,0.6953,0.9372,0.9474,0.9059,0.9115,2.97e-05,15.0
11,0.0032,1.1142,0.877,0.8881,0.813,0.8302,2.96e-05,15.0
12,0.003,0.6904,0.935,0.9451,0.9027,0.9078,2.95e-05,15.0
13,0.0035,0.6717,0.9217,0.9289,0.8831,0.8878,2.94e-05,15.0
14,0.0013,0.7081,0.9321,0.9411,0.8985,0.9027,2.94e-05,15.0
15,0.0048,1.2333,0.8733,0.871,0.81,0.8252,2.93e-05,15.0
