epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,6.1863,7.1993,0.438,0.1523,0.0,0.0,3e-05,13.3
2,3.9754,5.0334,0.4353,0.2169,0.047,0.0647,3e-05,3.0
3,3.3165,1.819,0.5876,0.6071,0.3856,0.3885,3e-05,2.9
4,3.0224,1.6649,0.636,0.6545,0.4457,0.4542,2.99e-05,2.9
5,2.8081,1.5428,0.6741,0.6936,0.5094,0.5148,2.99e-05,3.0
6,2.6009,1.485,0.6877,0.7055,0.5308,0.5346,2.99e-05,3.3
7,2.4829,1.3515,0.7188,0.7433,0.5846,0.5851,2.98e-05,3.0
8,2.3047,1.2959,0.7428,0.7627,0.6157,0.6179,2.98e-05,3.1
9,2.2283,1.3275,0.7559,0.7857,0.6427,0.6458,2.97e-05,3.0
10,2.0516,1.2291,0.7939,0.814,0.6979,0.6982,2.97e-05,3.0
11,2.023,1.2674,0.7867,0.8084,0.6833,0.6866,2.96e-05,3.0
12,1.9123,1.1795,0.815,0.8277,0.7276,0.7281,2.95e-05,3.1
13,1.8454,1.1505,0.8139,0.8333,0.7208,0.7257,2.94e-05,3.0
14,1.7741,1.0683,0.8312,0.8423,0.7488,0.7508,2.94e-05,3.0
15,1.6668,1.0388,0.8445,0.8523,0.7701,0.7705,2.93e-05,3.1
16,1.643,1.0406,0.8435,0.8547,0.766,0.7693,2.92e-05,3.0
17,1.5659,1.0405,0.8536,0.8609,0.7821,0.7846,2.91e-05,3.0
18,1.5232,1.0017,0.8695,0.8801,0.8066,0.8076,2.89e-05,3.0
19,1.448,0.9213,0.8783,0.8842,0.8202,0.821,2.88e-05,3.0
20,1.404,0.9857,0.8533,0.8631,0.7803,0.7856,2.87e-05,3.0
21,1.3681,0.9174,0.8746,0.8828,0.8134,0.8156,2.86e-05,3.0
22,1.3209,0.8866,0.8727,0.8775,0.81,0.8131,2.84e-05,3.1
23,1.2523,0.8264,0.8871,0.8948,0.8319,0.8347,2.83e-05,3.0
24,1.2262,0.8395,0.8743,0.8806,0.8121,0.8167,2.81e-05,3.0
25,1.1697,0.7828,0.8964,0.9052,0.8458,0.8484,2.8e-05,3.1
26,1.1338,0.7363,0.9089,0.9134,0.8655,0.866,2.78e-05,3.3
27,1.0931,0.7084,0.9076,0.9115,0.863,0.8644,2.77e-05,3.0
28,1.0487,0.6694,0.9175,0.9221,0.8786,0.8788,2.75e-05,3.1
29,1.0119,0.6512,0.9121,0.918,0.8702,0.8704,2.73e-05,3.0
30,0.9551,0.6279,0.9204,0.9261,0.8826,0.8829,2.71e-05,3.0
31,0.9427,0.6174,0.9148,0.925,0.8738,0.875,2.69e-05,3.0
32,0.9018,0.593,0.9191,0.9218,0.8803,0.8806,2.68e-05,3.0
33,0.8849,0.5917,0.9241,0.9301,0.888,0.8887,2.66e-05,3.0
34,0.8365,0.5873,0.9164,0.9217,0.876,0.8775,2.64e-05,2.9
