epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.2593,1.4628,0.438,0.1523,0.0,0.0,0.001,24.9
2,1.0409,1.5852,0.438,0.1523,0.0,0.0,0.001,12.0
3,0.8431,0.92,0.6944,0.6464,0.5277,0.5437,0.000999,12.2
4,0.712,0.8868,0.717,0.6445,0.5583,0.5828,0.000998,12.4
5,0.6093,0.8162,0.7399,0.5876,0.5959,0.6107,0.000997,12.5
6,0.5494,0.6305,0.8725,0.8621,0.8121,0.8196,0.000996,12.6
7,0.5009,0.5739,0.8959,0.8474,0.8438,0.8466,0.000995,12.7
8,0.4689,0.8447,0.7716,0.5983,0.6441,0.6622,0.000993,12.0
9,0.4305,0.718,0.8626,0.8705,0.7963,0.8018,0.000991,13.0
10,0.4262,0.6317,0.8695,0.8745,0.8093,0.8175,0.000989,13.0
11,0.4131,0.7792,0.8365,0.8118,0.7531,0.7595,0.000987,13.0
12,0.41,0.6362,0.8655,0.7184,0.7961,0.8035,0.000984,13.0
13,0.3901,0.6038,0.8757,0.8531,0.8149,0.8193,0.000982,13.0
14,0.3837,0.504,0.9209,0.9238,0.8831,0.8844,0.000979,13.3
15,0.3793,0.6137,0.8975,0.8933,0.8479,0.8517,0.000976,13.0
16,0.3708,0.4539,0.9545,0.9569,0.9332,0.9341,0.000972,13.2
17,0.3692,0.5782,0.9071,0.895,0.863,0.8683,0.000969,13.0
18,0.368,0.566,0.9135,0.915,0.8731,0.8791,0.000965,13.0
19,0.3636,0.5235,0.9318,0.9315,0.8997,0.905,0.000961,13.0
20,0.3648,0.5456,0.9103,0.9107,0.8679,0.8709,0.000957,13.0
21,0.3652,0.5275,0.9236,0.9015,0.8867,0.8902,0.000952,13.0
22,0.3618,0.5778,0.9012,0.868,0.8535,0.858,0.000948,13.0
23,0.3585,0.3897,0.9832,0.9849,0.9754,0.9756,0.000943,13.4
24,0.3593,0.6147,0.9119,0.7766,0.8662,0.871,0.000938,13.0
25,0.3574,0.4181,0.9699,0.9611,0.9556,0.9558,0.000933,13.0
26,0.3574,0.4004,0.9755,0.977,0.964,0.964,0.000928,13.0
27,0.3581,0.4302,0.9609,0.9585,0.9423,0.9423,0.000922,13.0
28,0.3556,0.4533,0.9499,0.9306,0.9256,0.9263,0.000916,13.0
29,0.3568,0.3807,0.984,0.9844,0.9765,0.9765,0.000911,13.4
30,0.3572,0.4111,0.9688,0.9742,0.9544,0.9551,0.000905,13.0
31,0.3539,0.4462,0.9497,0.9505,0.9261,0.9279,0.000898,13.0
32,0.3558,0.5028,0.9326,0.9336,0.901,0.9037,0.000892,13.0
33,0.3566,0.4967,0.9348,0.9359,0.9042,0.9067,0.000885,13.0
34,0.3541,0.4985,0.9334,0.9338,0.9019,0.9043,0.000878,13.0
35,0.3553,0.5891,0.9183,0.9179,0.8797,0.8843,0.000872,13.0
36,0.3542,0.5817,0.9164,0.9114,0.8769,0.883,0.000864,13.0
37,0.3544,0.5426,0.9113,0.8556,0.8677,0.87,0.000857,13.0
38,0.3531,0.4639,0.9499,0.894,0.9252,0.9264,0.00085,13.0
39,0.3519,0.5505,0.9196,0.9217,0.8821,0.8867,0.000842,13.0
