epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.2614,1.2899,0.438,0.1523,0.0,0.0,3e-05,31.8
2,1.0922,1.2761,0.438,0.1523,0.0,0.0,3e-05,5.6
3,0.9352,1.2581,0.438,0.1523,0.0,0.0,3e-05,5.6
4,0.8109,0.8969,0.8437,0.8123,0.7617,0.7706,2.99e-05,5.6
5,0.6765,0.8246,0.8695,0.8683,0.802,0.8168,2.99e-05,5.6
6,0.6374,0.798,0.886,0.8801,0.8262,0.8395,2.99e-05,5.9
7,0.6137,0.7566,0.914,0.9118,0.8707,0.876,2.98e-05,5.6
8,0.5886,0.7743,0.8783,0.7996,0.8136,0.8237,2.98e-05,5.0
9,0.575,0.7711,0.8349,0.8172,0.7529,0.7546,2.97e-05,5.0
10,0.5651,0.7543,0.8405,0.8382,0.762,0.7636,2.97e-05,5.6
11,0.5617,0.7056,0.9071,0.9111,0.8604,0.8652,2.96e-05,5.7
12,0.5361,0.6982,0.9116,0.9208,0.8672,0.8744,2.95e-05,5.7
13,0.5338,0.6653,0.9044,0.9113,0.857,0.8634,2.94e-05,5.8
14,0.5162,0.6526,0.8733,0.8879,0.8118,0.8142,2.94e-05,5.8
15,0.5024,0.7019,0.8123,0.8468,0.7249,0.7282,2.93e-05,5.0
16,0.4917,0.6569,0.8509,0.8792,0.7803,0.781,2.92e-05,5.0
17,0.4765,0.6485,0.8488,0.8737,0.7769,0.777,2.91e-05,5.8
18,0.4724,0.6549,0.8445,0.8691,0.7705,0.7706,2.89e-05,5.0
19,0.4549,0.6682,0.8328,0.8647,0.7542,0.7554,2.88e-05,5.0
20,0.4455,0.6791,0.8136,0.8302,0.7251,0.7281,2.87e-05,5.0
21,0.4333,0.7027,0.8245,0.836,0.7403,0.745,2.86e-05,5.0
22,0.4227,0.6691,0.8182,0.847,0.733,0.7334,2.84e-05,5.0
23,0.4173,0.6833,0.8224,0.8532,0.7388,0.7415,2.83e-05,5.0
24,0.4067,0.7163,0.8027,0.8188,0.7076,0.7101,2.81e-05,5.0
25,0.3974,0.7466,0.832,0.8417,0.7512,0.7573,2.8e-05,5.0
26,0.3946,0.7214,0.8224,0.8347,0.7374,0.7421,2.78e-05,5.0
27,0.3906,0.6865,0.7982,0.8186,0.704,0.7046,2.77e-05,6.0
