epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.2669,1.3056,0.438,0.1523,0.0,0.0,3e-05,44.9
2,1.054,1.3067,0.438,0.1523,0.0,0.0,3e-05,19.0
3,0.8715,1.0539,0.6259,0.5057,0.4323,0.4348,3e-05,19.4
4,0.653,0.812,0.7569,0.7047,0.6384,0.6409,2.99e-05,19.9
5,0.5103,0.7195,0.8088,0.771,0.7175,0.7213,2.99e-05,19.9
6,0.4487,0.6664,0.8291,0.7941,0.7461,0.7469,2.99e-05,19.8
7,0.4098,0.6004,0.8703,0.8706,0.8078,0.8083,2.98e-05,19.6
8,0.3863,0.5756,0.8839,0.8883,0.8285,0.8296,2.98e-05,19.8
9,0.373,0.5517,0.8994,0.9064,0.8509,0.8513,2.97e-05,19.8
10,0.3645,0.531,0.9073,0.9131,0.8632,0.8633,2.97e-05,19.8
11,0.3608,0.5266,0.9095,0.9169,0.8661,0.8663,2.96e-05,19.7
12,0.3572,0.5144,0.9151,0.9209,0.874,0.8746,2.95e-05,19.9
13,0.3561,0.5148,0.9167,0.9172,0.8766,0.8768,2.94e-05,19.0
14,0.3554,0.5117,0.9172,0.9195,0.8775,0.8776,2.94e-05,19.7
15,0.3546,0.5084,0.9183,0.9233,0.8791,0.8792,2.93e-05,19.7
16,0.3535,0.5044,0.922,0.9303,0.8842,0.885,2.92e-05,19.7
17,0.3532,0.5022,0.922,0.9291,0.8841,0.8851,2.91e-05,19.7
18,0.3528,0.5023,0.9215,0.9283,0.8836,0.884,2.89e-05,19.0
19,0.3527,0.4987,0.9255,0.9318,0.8894,0.8901,2.88e-05,19.6
20,0.3527,0.4987,0.9239,0.9283,0.8874,0.8875,2.87e-05,19.0
21,0.3522,0.5035,0.9225,0.9271,0.8852,0.8856,2.86e-05,19.0
22,0.3522,0.5035,0.9257,0.9319,0.8898,0.8905,2.84e-05,19.0
23,0.3519,0.5048,0.9215,0.9289,0.8835,0.8842,2.83e-05,19.0
24,0.3519,0.4987,0.9241,0.9309,0.8875,0.888,2.81e-05,19.0
25,0.3519,0.4881,0.9292,0.9371,0.8952,0.8955,2.8e-05,19.6
26,0.3516,0.4953,0.9273,0.932,0.8924,0.8927,2.78e-05,19.0
27,0.3519,0.5132,0.9223,0.929,0.8842,0.886,2.77e-05,19.0
28,0.3516,0.5017,0.9273,0.9363,0.8922,0.8928,2.75e-05,19.0
29,0.3517,0.5056,0.9268,0.9356,0.8912,0.8924,2.73e-05,19.0
30,0.3521,0.4887,0.9313,0.9389,0.8982,0.8987,2.71e-05,19.0
31,0.3513,0.5082,0.9239,0.9325,0.8868,0.888,2.69e-05,19.0
32,0.3512,0.5043,0.9252,0.9333,0.8888,0.89,2.68e-05,19.0
33,0.3512,0.5058,0.9249,0.9332,0.8885,0.8898,2.66e-05,19.0
34,0.3512,0.4902,0.9313,0.9414,0.8981,0.8992,2.64e-05,19.0
35,0.3512,0.4894,0.9324,0.9409,0.8998,0.9005,2.61e-05,19.0
