epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,7.0304,8.983,0.098,0.0938,0.0236,0.0712,3e-05,12.8
2,4.7929,5.9319,0.1725,0.1674,0.0006,0.0008,3e-05,2.8
3,3.9155,3.4453,0.5274,0.448,0.3001,0.3057,3e-05,2.8
4,3.33,2.9797,0.5945,0.508,0.3894,0.3945,2.99e-05,2.7
5,2.9521,2.829,0.6054,0.5243,0.4101,0.4174,2.99e-05,3.0
6,2.6964,2.8754,0.6315,0.5398,0.4476,0.4573,2.99e-05,2.0
7,2.5606,2.7244,0.6515,0.5352,0.4686,0.4774,2.98e-05,2.8
8,2.4006,2.3804,0.676,0.5563,0.5166,0.5193,2.98e-05,2.8
9,2.1753,2.284,0.7098,0.6321,0.5574,0.566,2.97e-05,2.8
10,2.069,2.4107,0.7151,0.6282,0.5568,0.5767,2.97e-05,2.0
11,1.9676,1.9806,0.7346,0.664,0.6042,0.6055,2.96e-05,2.8
12,1.8368,2.1542,0.7308,0.646,0.5927,0.6027,2.95e-05,2.0
13,1.758,1.923,0.7455,0.6385,0.6163,0.621,2.94e-05,2.8
14,1.7048,1.8152,0.7583,0.6531,0.6377,0.6401,2.94e-05,2.8
15,1.6377,1.8386,0.7588,0.6929,0.6387,0.6461,2.93e-05,2.0
16,1.5874,1.4828,0.7963,0.7368,0.6925,0.6978,2.92e-05,2.8
17,1.5239,1.6751,0.7764,0.6762,0.6582,0.6675,2.91e-05,2.0
18,1.4739,1.5955,0.7819,0.695,0.6671,0.6774,2.89e-05,2.0
19,1.4277,1.4993,0.7929,0.7167,0.6863,0.6926,2.88e-05,2.0
20,1.3753,1.5,0.7915,0.7072,0.6855,0.6888,2.87e-05,2.0
21,1.3444,1.4795,0.7995,0.6977,0.6958,0.6997,2.86e-05,2.9
22,1.279,1.4458,0.8022,0.6789,0.7012,0.7045,2.84e-05,2.8
23,1.2647,1.3463,0.8038,0.6995,0.7037,0.7089,2.83e-05,2.8
24,1.2154,1.2772,0.8048,0.7119,0.7074,0.7095,2.81e-05,2.9
25,1.1839,1.3353,0.8046,0.7139,0.7053,0.7101,2.8e-05,2.0
26,1.1342,1.3432,0.803,0.7119,0.7027,0.7059,2.78e-05,3.0
27,1.0966,1.1848,0.8086,0.7136,0.7094,0.7148,2.77e-05,2.9
28,1.0897,1.2655,0.8032,0.6832,0.6991,0.7074,2.75e-05,2.0
29,1.0489,1.1728,0.7979,0.6674,0.6948,0.6981,2.73e-05,2.9
30,1.0066,1.1632,0.8067,0.7098,0.7077,0.7107,2.71e-05,2.9
31,0.9862,1.0802,0.8134,0.7137,0.7175,0.7219,2.69e-05,3.0
32,0.9693,1.1627,0.8014,0.6886,0.6979,0.7044,2.68e-05,2.0
33,0.9403,1.0942,0.8019,0.6682,0.7019,0.7053,2.66e-05,2.0
34,0.9099,1.1101,0.7998,0.6873,0.6982,0.7026,2.64e-05,2.0
35,0.8854,1.0654,0.8064,0.6953,0.7088,0.7125,2.61e-05,2.9
36,0.8594,1.0885,0.803,0.7217,0.7041,0.709,2.59e-05,2.0
37,0.8369,1.035,0.811,0.7106,0.714,0.719,2.57e-05,2.9
38,0.8118,0.9879,0.8195,0.7486,0.7275,0.7331,2.55e-05,2.9
39,0.7912,1.0871,0.8022,0.7013,0.7017,0.7058,2.53e-05,2.0
40,0.7783,0.9881,0.812,0.7224,0.7151,0.7205,2.5e-05,2.0
41,0.7612,0.9989,0.8152,0.7323,0.7215,0.7259,2.48e-05,3.0
42,0.7576,1.0317,0.8142,0.7276,0.7189,0.725,2.46e-05,3.0
43,0.726,0.9761,0.8256,0.7734,0.7379,0.7425,2.43e-05,3.0
44,0.7098,0.9481,0.8216,0.7466,0.732,0.7356,2.41e-05,2.9
