epoch,train_loss,val_loss,acc,f1,k,mcc,lr,time
1,1.2275,1.33,0.438,0.1523,0.0,0.0,0.001,23.4
2,1.0395,1.4275,0.438,0.1523,0.0,0.0,0.001,12.0
3,0.9313,1.1134,0.4976,0.4771,0.189,0.2188,0.000999,12.4
4,0.7916,0.8178,0.6936,0.6914,0.5228,0.5521,0.000998,12.5
5,0.6412,0.9487,0.7098,0.7224,0.5793,0.6179,0.000997,12.0
6,0.5391,0.7075,0.8621,0.8631,0.7943,0.8064,0.000996,12.8
7,0.4793,0.477,0.9497,0.9517,0.926,0.9283,0.000995,13.0
8,0.4386,0.4462,0.9579,0.9649,0.9385,0.9398,0.000993,13.2
9,0.4131,0.4832,0.9502,0.9547,0.9267,0.9284,0.000991,13.0
10,0.4038,0.4258,0.9691,0.9735,0.9545,0.9549,0.000989,13.7
11,0.3919,0.7298,0.8621,0.8592,0.7933,0.8098,0.000987,13.0
12,0.3878,0.4408,0.959,0.9657,0.9395,0.9404,0.000984,13.0
13,0.3777,0.4355,0.9507,0.9548,0.9273,0.9293,0.000982,13.0
14,0.3734,0.5281,0.9183,0.9292,0.878,0.8835,0.000979,13.0
15,0.3712,0.5477,0.9223,0.9241,0.8849,0.8909,0.000976,13.0
16,0.3713,0.4411,0.9579,0.9633,0.938,0.9391,0.000972,13.0
17,0.3664,0.4906,0.9273,0.9314,0.8922,0.8968,0.000969,13.0
18,0.3637,0.5203,0.9223,0.9274,0.8857,0.8907,0.000965,13.0
19,0.3616,0.4885,0.9308,0.9341,0.8977,0.9021,0.000961,13.0
20,0.3595,0.4052,0.9667,0.968,0.951,0.9522,0.000957,13.5
21,0.36,0.6232,0.8725,0.887,0.8132,0.8217,0.000952,13.0
22,0.3601,0.4897,0.934,0.9421,0.9019,0.9053,0.000948,13.0
23,0.357,0.5091,0.9151,0.9242,0.8742,0.8774,0.000943,13.0
24,0.3606,0.4837,0.9292,0.9344,0.895,0.8989,0.000938,13.0
25,0.3588,0.4599,0.9444,0.9479,0.9175,0.9204,0.000933,13.0
26,0.3586,0.5352,0.9199,0.9219,0.8809,0.8875,0.000928,13.0
27,0.3557,0.4389,0.9555,0.962,0.934,0.9359,0.000922,13.0
28,0.3559,0.4884,0.9297,0.9333,0.8958,0.9003,0.000916,13.0
29,0.3576,0.546,0.9207,0.924,0.8826,0.8882,0.000911,13.0
30,0.3589,0.5448,0.9087,0.9115,0.8644,0.8718,0.000905,13.0
